id,category,module,file,symbol,line,aggregateTypes,tenantScoped,idempotent,mutationOwner,bypassesCommand,runtimeReachability,deployedEvidence,disposition
11,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,archiveAgent_tool,1199,Agent,COPY_FROM_CONTEXT,true,AGENT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
12,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,moveAgent_tool,1226,Agent,COPY_FROM_CONTEXT,true,AGENT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
13,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,createAgents_tool,1268,Agent,COPY_FROM_CONTEXT,true,AGENT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
14,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,bulkAssignAgents_tool,1291,Agent,COPY_FROM_CONTEXT,true,AGENT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
15,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,updateProject_tool,1368,Project,COPY_FROM_CONTEXT,true,PROJECT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
16,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,archiveProject_tool,1391,Project,COPY_FROM_CONTEXT,true,PROJECT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
17,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,deleteProject_tool,1414,Project,COPY_FROM_CONTEXT,true,PROJECT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
18,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,cloneProject_tool,1437,Project,COPY_FROM_CONTEXT,true,PROJECT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
19,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,updateTask_tool,1490,Task,COPY_FROM_CONTEXT,true,TASK_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
20,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,deleteTask_tool,1511,Task,COPY_FROM_CONTEXT,true,TASK_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
21,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,assignTask_tool,1535,Task,COPY_FROM_CONTEXT,true,TASK_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
22,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,unassignTask_tool,1558,Task,COPY_FROM_CONTEXT,true,TASK_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
23,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,completeTask_tool,1581,Task,COPY_FROM_CONTEXT,true,TASK_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
24,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,startTask_tool,1604,Task,COPY_FROM_CONTEXT,true,TASK_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
25,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,resetTask_tool,1627,Task,COPY_FROM_CONTEXT,true,TASK_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
26,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,setTaskPriority_tool,1650,Task,COPY_FROM_CONTEXT,true,TASK_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
27,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,createSubtask_tool,1673,Task,COPY_FROM_CONTEXT,true,TASK_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
28,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,bulkAssignTasks_tool,1763,Task,COPY_FROM_CONTEXT,true,TASK_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
29,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,bulkUpdateTasks_tool,1786,Task,COPY_FROM_CONTEXT,true,TASK_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
30,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,cloneTask_tool,1809,Task,COPY_FROM_CONTEXT,true,TASK_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
31,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,approveApproval_tool,1864,ApprovalRequest,COPY_FROM_CONTEXT,true,APPROVAL_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
32,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,rejectApproval_tool,1883,ApprovalRequest,COPY_FROM_CONTEXT,true,APPROVAL_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
33,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,requestApproval_tool,1927,ApprovalRequest,COPY_FROM_CONTEXT,true,APPROVAL_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
34,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,resetApproval_tool,1962,ApprovalRequest,COPY_FROM_CONTEXT,true,APPROVAL_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
35,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,cancelApproval_tool,1981,ApprovalRequest,COPY_FROM_CONTEXT,true,APPROVAL_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
36,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,createGovernanceRule_tool,2070,GovernanceRule,COPY_FROM_CONTEXT,true,GOVERNANCE_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
37,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,updateTenant_tool,2126,Tenant,COPY_FROM_CONTEXT,true,TENANT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
38,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,markNotificationRead_tool,2178,Notification,COPY_FROM_CONTEXT,true,NOTIFICATION_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
39,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,bulkApprove_tool,2323,ApprovalRequest,COPY_FROM_CONTEXT,true,APPROVAL_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
40,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,createCustomer_tool,2458,Customer,COPY_FROM_CONTEXT,true,CUSTOMER_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
41,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,updateCustomer_tool,2558,Customer,COPY_FROM_CONTEXT,true,CUSTOMER_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
42,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,deactivateCustomer_tool,2819,Customer,COPY_FROM_CONTEXT,true,CUSTOMER_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
43,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,archiveCustomer_tool,2868,Customer,COPY_FROM_CONTEXT,true,CUSTOMER_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
44,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,updateProjectMember_tool,3081,ProjectMember,COPY_FROM_CONTEXT,true,PROJECT_MEMBER_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
45,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,removeProjectMember_tool,3175,ProjectMember,COPY_FROM_CONTEXT,true,PROJECT_MEMBER_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
46,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,updateProjectStage_tool,3308,ProjectStage,COPY_FROM_CONTEXT,true,PROJECT_STAGE_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
47,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,updateGoal_tool,3489,Goal,COPY_FROM_CONTEXT,true,GOAL_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
48,CONTROLLER_MUTATION,compliance,src/modules/compliance/compliance-acceptance.controller.ts,acceptCompliance,91,Tenant,EXPLICIT,false,COMPLIANCE_CONTROLLER,YES,HTTP_GATEWAY,DIRECT_PRISMA,legacy
49,CONTROLLER_MUTATION,audit,src/modules/audit/audit.service.ts,logAuditEvent,varies,AuditLog,EXPLICIT,true,AUDIT_SERVICE,NO,infrastructure,NONE,approved_persistence_adapter
50,INFRASTRUCTURE,enterprise-events,src/modules/enterprise-events/transport/enterprise-event-transport.service.ts,publish,120,OutboxEvent,EXPLICIT,true,EVENT_TRANSPORT,NO,IN_PROCESS_TIMER,NONE,approved_persistence_adapter
51,WORKER,project-automation,src/modules/project-automation/interfaces/prisma-project-automation.repository.ts,create,16,ProjectAutomationLog,EXPLICIT,true,PROJECT_AUTOMATION_REPO,NO,DIRECT,NONE,approved_persistence_adapter
52,WORKER,project-automation,src/modules/project-automation/services/role-template.service.ts,spawnAgentsFromTemplate,110,ProjectMember,EXPLICIT,true,ROLE_TEMPLATE_SERVICE,NO,DIRECT,NONE,approved_persistence_adapter
